Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Emergency Heroes,Wii,2008,Racing,Ubisoft,0.14,0.27,0,0.05,41,12,4.2,15,E10+
Super Momotarou Dentetsu DX,SNES,1995,Misc,Hudson Soft,0,0,0.47,0,,,,,
FlingSmash,Wii,2010,Action,Nintendo,0.37,0.01,0.07,0.02,48,26,6.8,13,E
World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.47,0,,,,,
Cars: Race-O-Rama,PS2,2009,Racing,THQ,0.27,0.03,0,0.17,,,,,E
Downhill Domination,PS2,2003,Racing,Codemasters,0.23,0.18,0,0.06,79,40,8.9,33,T
Dead Space Extraction,Wii,2009,Shooter,Electronic Arts,0.32,0.1,0.01,0.04,82,76,8.1,82,M
Silent Hill: Shattered Memories,Wii,2009,Action,Konami Digital Entertainment,0.22,0.19,0.01,0.05,79,56,8,226,M
Pirates of the Caribbean: Dead Mans Chest,GBA,2006,Adventure,Disney Interactive Studios,0.33,0.12,0,0.01,70,8,5.6,5,E10+
Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.14,0.27,0,0.06,56,13,,,E
FIFA 12,PC,2011,Sports,Electronic Arts,0.04,0.33,0,0.1,,,,,
Hyrule Warriors,3DS,2016,Action,Nintendo,0.18,0.14,0.11,0.03,,,,,
Spider-Man: Friend or Foe,DS,2007,Action,Activision,0.43,0,0,0.04,55,12,,,E10+
NBA Live 07,X360,2006,Sports,Electronic Arts,0.43,0,0,0.04,59,32,4.9,60,E
World Series of Poker,PS2,2005,Misc,Activision,0.39,0.01,0,0.06,46,15,8.2,20,E10+
Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,Role-Playing,Square Enix,0.12,0.06,0.27,0.02,75,37,7.2,22,E10+
Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0,0.01,0.46,0,,,,,
2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.22,0.03,0.12,69,11,7.4,9,E
NHL 97,PS,1996,Sports,Electronic Arts,0.26,0.18,0,0.03,,,,,
Rise of Nightmares,X360,2011,Action,Sega,0.28,0.13,0.01,0.04,54,56,7.8,44,M
EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0,0.04,70,23,6.3,152,T
Spider-Man 3,DS,2007,Platform,Activision,0.41,0.02,0,0.04,79,21,6.5,17,E10+
Kong: The 8th Wonder of the World,GBA,2005,Action,Ubisoft,0.33,0.12,0,0.01,59,8,,,E10+
Dead or Alive 4,X360,2005,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,85,76,8.2,224,M
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.02,0.07,,,,,
Godzilla: Save the Earth,PS2,2004,Fighting,Atari,0.23,0.18,0,0.06,62,19,8.7,21,T
Dance Dance Revolution: Mario Mix,GC,2005,Misc,Nintendo,0.36,0.09,0,0.01,69,28,8.4,19,E
The Evil Within,X360,2014,Action,Bethesda Softworks,0.26,0.16,0.01,0.04,,,7.6,172,M
Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,85,54,9.1,143,M
Tiger Woods PGA Tour 07,Wii,2006,Sports,Electronic Arts,0.43,0,0,0.04,71,41,6.9,44,E
Mat Hoffmans Pro BMX 2,PS2,2002,Sports,Activision,0.23,0.18,0,0.06,76,22,9.1,7,T
Metal Gear Solid: The Essential Collection,PS2,2007,Adventure,Konami Digital Entertainment,0.23,0.18,0,0.06,,,8.9,9,M
Iridion 3D,GBA,2001,Shooter,THQ,0.33,0.12,0,0.01,53,15,,,E
Two Worlds II,PS3,2011,Role-Playing,SouthPeak Games,0.26,0.1,0.06,0.05,70,28,7,65,M
Classic NES Series: Pac-Man,GBA,2004,Puzzle,Nintendo,0.25,0.09,0.12,0.01,53,13,,,E
Football Manager 2015,PC,2014,Simulation,Sega,0,0.44,0,0.03,80,36,6.1,153,
Petz Sports,Wii,2008,Simulation,Ubisoft,0.42,0.01,0,0.04,,,,,
Destroy All Humans!,X,2005,Shooter,THQ,0.34,0.11,0,0.02,,,,,
Silent Hill: Downpour,PS3,2012,Action,Konami Digital Entertainment,0.21,0.15,0.04,0.06,64,41,6.9,263,M
SimCity Creator,Wii,2008,Simulation,Electronic Arts,0.36,0.02,0.04,0.04,67,17,6.8,13,E
Imagine: Figure Skater (US sales),DS,2007,Sports,Ubisoft,0.46,0.01,0,0,,,,,
The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0,0.29,0,0.17,74,25,7.3,51,T
Dragon Ball Z: Collectible Card Game,GBA,2002,Misc,Infogrames,0.33,0.12,0,0.01,62,4,5.5,4,E
Skylanders: Trap Team,PS4,2014,Action,Activision,0.21,0.18,0,0.08,78,46,5.6,32,E10+
Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,0.38,0.05,0,0.04,69,34,7.2,28,E10+
Circus Atari,2600,1977,Action,Atari,0.43,0.03,0,0,,,,,
Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,0.26,0.17,0,0.03,65,11,,,E
Disney's Kim Possible 3: Team Possible,GBA,2005,Platform,Disney Interactive Studios,0.33,0.12,0,0.01,76,6,7.7,6,E
Rygar: The Legendary Adventure,PS2,2002,Action,Wanadoo,0.2,0.15,0.06,0.05,83,30,8.3,15,T
Syphon Filter: Logans Shadow,PSP,2007,Shooter,Sony Computer Entertainment,0.25,0.12,0,0.09,85,41,8.8,47,T
Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0,0,0.46,0,,,,,
Kessen II,PS2,2001,Strategy,THQ,0.13,0.1,0.2,0.03,71,15,8.3,22,T
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993,Platform,Namco Bandai Games,0,0,0.46,0,,,,,
Stuart Little 2,GBA,2002,Platform,Activision,0.33,0.12,0,0.01,59,10,,,E
Tak 2: The Staff of Dreams,GBA,2004,Platform,THQ,0.33,0.12,0,0.01,45,5,,,E
Lego Batman 3: Beyond Gotham,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0,0.04,,,6.4,7,E10+
SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.06,76,20,,,T
Brothers In Arms: Earned in Blood,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,71,20,7.9,23,M
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.28,0.14,0,0.04,88,24,6.7,168,M
Watch Dogs,PC,2014,Action,Ubisoft,0.16,0.27,0,0.04,77,18,4.7,3301,M
Dragon Ball Z: Sagas,PS2,2005,Fighting,Atari,0.38,0.01,0,0.06,49,13,5.5,31,T
MX vs. ATV: Alive,PS3,2011,Racing,THQ,0.24,0.15,0,0.07,61,41,6.7,11,E
Scooby-Doo,GBA,2001,Platform,THQ,0.33,0.12,0,0.01,64,5,,,E
Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0,0.04,71,6,7,58,E10+
Hydro Thunder,PS,1999,Racing,Midway Games,0.26,0.17,0,0.03,,,,,
NHL FaceOff 97,PS,1996,Sports,Sony Computer Entertainment,0.26,0.17,0,0.03,,,,,
Thief (2014),XOne,2014,Action,Square Enix,0.26,0.15,0,0.04,,,,,
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,82,30,7.6,30,M
The Legend of Spyro: Dawn of the Dragon,DS,2008,Platform,Vivendi Games,0.26,0.15,0,0.05,57,9,6.8,10,E
Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.17,0.23,0,0.05,50,8,3.7,18,E10+
LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.27,0,0.07,,,7,10,E10+
Gremlins,2600,1983,Action,Atari,0.43,0.03,0,0,,,,,
The Mark of Kri,PS2,2002,Action,Sony Computer Entertainment,0.22,0.18,0,0.06,80,37,7.9,29,M
Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,0.42,0.01,0,0.03,65,14,,,E
Jampack Winter 2003 (RP-M),PS2,2003,Misc,Sony Computer Entertainment,0.22,0.18,0,0.06,,,,,
Rugrats: Castle Capers,GBA,2001,Action,THQ,0.33,0.12,0,0.01,,,,,
Crash Nitro Kart,GBA,2003,Racing,Vivendi Games,0.33,0.12,0,0.01,77,6,8.3,12,E
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008,Action,Capcom,0.22,0,0.22,0.02,,,,,
WWE SmackDown vs. Raw 2011,Wii,2010,Fighting,THQ,0.29,0.13,0,0.04,72,7,,,T
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.06,0.13,0.23,0.04,,,,,
Tomb Raider: Legend,PSP,2006,Action,Eidos Interactive,0.09,0.24,0,0.12,67,28,7.9,30,T
Jak and Daxter: The Lost Frontier,PS2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.06,72,8,4.6,32,E10+
Momotarou Dentetsu 11,PS2,2002,Misc,Hudson Soft,0,0,0.46,0,,,,,
The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,0,0.38,0,0.08,,,5.6,17,T
The Princess and the Frog,Wii,2009,Platform,Disney Interactive Studios,0.29,0.13,0,0.04,,,,,E
Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0,0.03,63,11,6.5,6,T
Bloody Roar II,PS,1999,Fighting,Virgin Interactive,0.25,0.17,0,0.03,,,,,
Delta Force: Black Hawk Down,PS2,2005,Shooter,NovaLogic,0.22,0.17,0,0.06,58,25,8.8,51,T
Space Invaders,SNES,1994,Shooter,Taito,0,0,0.46,0,,,,,
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,70,23,8.7,19,T
MX vs. ATV Untamed,PS3,2007,Racing,THQ,0.35,0.06,0,0.05,67,33,6.1,8,E
Mother 1+2,GBA,2003,Role-Playing,Nintendo,0,0,0.45,0.01,,,,,
Boom Blox Bash Party,Wii,2009,Puzzle,Electronic Arts,0.33,0.09,0,0.04,86,48,8.3,38,E
Top Spin,X,2003,Sports,Microsoft Game Studios,0.36,0.08,0,0.02,89,44,8.2,31,E
Tales of Vesperia,PS3,2009,Role-Playing,Namco Bandai Games,0,0,0.46,0,,,,,
Brothers In Arms: D-Day,PSP,2006,Shooter,Ubisoft,0.23,0.14,0,0.09,65,19,9.1,64,M
Warhawk,PS,1995,Simulation,Sony Computer Entertainment,0.25,0.17,0,0.03,,,,,
The Golden Compass,X360,2007,Action,Sega,0.3,0.12,0,0.04,41,25,4.1,14,E10+
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01,,,,,
Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,Take-Two Interactive,0.26,0.15,0,0.03,,,,,
Missile Command,PS,1999,Shooter,Atari,0.25,0.17,0,0.03,,,,,
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.37,0,0,0.09,75,60,7.3,96,M
Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.13,0.29,0,0.03,81,23,8.1,1662,M
Jikkyou Powerful Pro Yakyuu 3,SNES,1996,Sports,Konami Digital Entertainment,0,0,0.45,0,,,,,
Jikkyou Powerful Pro Yakyuu 12,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.45,0,,,,,
Enter the Matrix,GC,2003,Action,Atari,0.34,0.09,0.02,0.01,63,23,8,45,T
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0,0.04,70,4,8.7,11,E10+
NASCAR 2005: Chase for the Cup,X,2004,Racing,Electronic Arts,0.34,0.1,0,0.02,86,16,,,E
PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.21,0.14,0.01,0.09,75,15,7.5,222,T
Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05,,,,,
J-League Excite Stage 95,SNES,1995,Sports,Epoch,0,0,0.45,0,,,,,
NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.05,0,0.05,,,2.8,47,E10+
Phantasy Star Online Episode I & II,GC,2002,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,,,,,
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,BAM! Entertainment,0.22,0.17,0,0.06,46,5,6.8,5,E
Bleach: The Blade of Fate,DS,2006,Fighting,Sega,0.29,0.01,0.12,0.03,83,32,7.5,23,T
American Girl: Kit Mystery Challenge!,DS,2008,Adventure,THQ,0.42,0,0,0.03,,,,,E
Country Dance 2,Wii,2011,Misc,GameMill Entertainment,0.43,0,0,0.03,,,,,E10+
The Chronicles of Riddick: Escape from Butcher Bay,X,2004,Shooter,Vivendi Games,0.32,0.11,0,0.02,89,84,8.9,85,M
NFL Head Coach,PS2,2006,Sports,Electronic Arts,0.38,0.01,0,0.06,66,22,6.9,15,E
We Sing Encore,Wii,2010,Misc,Nordic Games,0,0.4,0,0.06,,,,,
Tomb Raider: Underworld,Wii,2008,Action,Eidos Interactive,0.13,0.27,0,0.05,70,12,7.2,20,T
Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0,,,,,
Nickelodeon Team Umizoomi,DS,2011,Action,Take-Two Interactive,0.42,0,0,0.03,,,,,EC
NCAA Gamebreaker 99,PS,1998,Sports,989 Studios,0.25,0.17,0,0.03,,,,,
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,75,37,8.4,52,M
World Stadium 2,PS,1998,Sports,Namco Bandai Games,0,0,0.42,0.03,,,,,
NHL 2005,PS2,2004,Sports,Electronic Arts,0.22,0.17,0,0.06,75,21,8.3,23,E
The New York Times Crosswords,DS,2007,Puzzle,Majesco Entertainment,0.42,0,0,0.03,79,15,6.7,6,T
Barbie as The Island Princess,Wii,2007,Adventure,Activision,0.42,0,0,0.03,,,,,E
Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,Konami Digital Entertainment,0.42,0,0,0.03,,,7.8,21,E
iCarly,Wii,2009,Adventure,Activision,0.42,0,0,0.03,,,,,E
Star Wars Jedi Knight: Jedi Academy,X,2003,Shooter,Activision,0.34,0.1,0,0.02,76,30,8.7,30,T
Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0,0,,,,,
Dynasty Warriors: Strikeforce,PSP,2009,Action,Ubisoft Annecy,0.03,0.02,0.38,0.02,65,28,6.8,10,T
Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0,0,0.03,68,7,7,4,E
Command & Conquer: Red Alert 3,X360,2008,Strategy,Electronic Arts,0.18,0.23,0,0.05,,,,,
ATV Offroad Fury Pro,PSP,2006,Racing,Sony Computer Entertainment,0.37,0.03,0,0.04,76,32,,,E
Enemy Territory: Quake Wars,X360,2008,Shooter,Activision,0.3,0.11,0,0.04,69,54,7.3,26,T
Harvest Moon DS (US sales),DS,2005,Simulation,Rising Star Games,0.4,0.05,0,0,,,,,
God Eater 2,PSV,2013,Role-Playing,Namco Bandai Games,0,0,0.45,0,,,,,
Major League Baseball 2K11,X360,2011,Sports,Take-Two Interactive,0.4,0.03,0,0.03,69,27,6.8,24,E
Burnout Dominator,PSP,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.05,76,23,8.2,27,E10+
Apocalypse,PS,1998,Action,Activision,0.25,0.17,0,0.03,,,,,
Yu-Gi-Oh! Destiny Board Traveler,GBA,2004,Misc,Konami Digital Entertainment,0.32,0.12,0,0.01,,,,,
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.29,0.13,0,0.04,,,,,
Crash of the Titans,Wii,2007,Action,Vivendi Games,0.39,0.02,0,0.03,69,16,5.8,22,E10+
Red Faction: Armageddon,PS3,2011,Shooter,THQ,0.2,0.15,0.03,0.07,71,52,7.3,58,M
World Soccer Winning Eleven 5 Final Evolution,PS2,2001,Sports,Konami Digital Entertainment,0,0,0.45,0,,,,,
Sphinx and the Cursed Mummy,PS2,2003,Action,THQ,0.22,0.17,0,0.06,78,28,8.9,37,T
Fatal Fury 2,SNES,1993,Fighting,Takara,0,0,0.45,0,,,,,
Pokemon Puzzle League,N64,2000,Puzzle,Nintendo,0.36,0.08,0,0.01,,,,,
Rampage World Tour,N64,1998,Action,GT Interactive,0.36,0.08,0,0.01,,,,,
Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0,0.04,,,7,20,E10+
PES 2009: Pro Evolution Soccer,Wii,2009,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,,,,,
Despicable Me: The Game - Minion Mayhem,DS,2010,Puzzle,D3Publisher,0.37,0.05,0,0.03,,,,,
Tekken Advance,GBA,2001,Fighting,Infogrames,0.32,0.12,0,0.01,82,14,8.2,13,T
My Fashion Studio,DS,2007,Misc,Ubisoft,0.41,0,0,0.03,,,6.8,6,E
Shin Megami Tensei: Persona 3,PS2,2006,Role-Playing,Tecmo Koei,0.22,0.03,0,0.2,86,52,8.4,116,M
Persona,PS,1995,Role-Playing,Atlus,0,0,0.42,0.03,,,,,
Hot Wheels: Stunt Track Challenge,GBA,2004,Racing,THQ,0.32,0.12,0,0.01,,,,,E
Maze Craze: A Game of Cops n Robbers,2600,1980,Action,Atari,0.42,0.02,0,0,,,,,
TNA iMPACT!,X360,2008,Fighting,Midway Games,0.26,0.15,0,0.04,,,,,
WWE 2K16,X360,2015,Sports,Take-Two Interactive,0.29,0.12,0,0.04,,,5.4,25,T
Mobile Suit Gundam,PS,1995,Action,Namco Bandai Games,0,0,0.42,0.03,,,,,
Pirates of the Caribbean: At Worlds End,Wii,2007,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,53,17,7.2,17,T
Bee Movie Game,DS,2007,Action,Activision,0.41,0,0,0.03,58,9,,,E
Sega Rally Revo,X360,2007,Racing,Sega,0.12,0.28,0,0.05,77,42,7.2,30,E
SingStar Take That,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.39,,,,,
Final Fantasy Collection,PS,1999,Role-Playing,Square,0,0,0.42,0.03,,,,,
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0,0.34,,,,,
LEGO Rock Band,DS,2009,Misc,Warner Bros. Interactive Entertainment,0.32,0.09,0,0.04,80,8,7.5,6,E
Samurai Warriors: Xtreme Legends,PS2,2004,Action,Tecmo Koei,0.04,0.03,0.36,0.01,72,17,8.6,13,T
NHL FaceOff,PS,1994,Sports,Sony Computer Entertainment,0.25,0.17,0,0.03,,,,,
WWE WrestleMania 21,X,2005,Fighting,THQ,0.34,0.1,0,0.02,56,48,6.9,47,T
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.28,0.13,0,0.04,80,11,7.8,120,M
Deadpool,PS3,2013,Action,Activision,0.23,0.14,0,0.08,61,27,7.2,221,M
NBA Live 2005,GC,2004,Sports,Electronic Arts,0.35,0.09,0,0.01,83,17,6.7,7,E
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.16,0.01,0.07,74,48,7.1,103,M
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.26,0.15,0,0.04,76,42,5.9,78,T
Dead or Alive: Dimensions,3DS,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,79,62,8.2,114,T
Defender II,2600,1987,Shooter,Atari,0.42,0.02,0,0,,,,,
WWE Day of Reckoning,GC,2004,Fighting,THQ,0.35,0.09,0,0.01,79,47,9.1,81,T
NBA Live 10,X360,2009,Sports,Electronic Arts,0.4,0.02,0,0.03,80,40,7.7,37,E
ATV Quad Power Racing 2,X,2003,Racing,Acclaim Entertainment,0.36,0.07,0,0.01,68,17,,,E
Harry Potter and the Deathly Hallows - Part 1,X360,2010,Action,Electronic Arts,0.21,0.2,0,0.04,38,42,5,46,T
Walt Disney World Quest: Magical Racing Tour,PS,2000,Racing,Eidos Interactive,0.25,0.17,0,0.03,,,,,
Sled Storm,PS2,2002,Racing,Electronic Arts,0.22,0.17,0,0.06,73,22,7.7,6,T
Vandal Hearts,PS,1996,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,,,,,
Microsoft Flight Simulator X,PC,2006,Simulation,Microsoft Game Studios,0.02,0.38,0,0.05,80,28,7.6,95,E
Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0,0,,,,,
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,THQ,0.22,0.17,0,0.06,,,,,
Mario Golf: Advance Tour,GBA,2004,Sports,Nintendo,0.32,0.12,0,0.01,84,38,8.6,14,E
Celebrity Sports Showdown,Wii,2008,Sports,Electronic Arts,0.18,0.22,0,0.05,50,12,4.6,18,E
F.E.A.R. 3,X360,2011,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,75,71,7,139,M
Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,0.42,0,0,0.03,78,13,8,4,E
Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.15,0.01,0.04,,,,,
"Warhammer 40,000: Space Marine",PS3,2011,Shooter,THQ,0.13,0.23,0,0.08,70,46,7.4,162,M
Silent Hill: Homecoming,X360,2008,Action,Konami Digital Entertainment,0.25,0.15,0,0.04,70,54,7,182,M
Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004,Misc,Konami Digital Entertainment,0.22,0.17,0,0.06,,,,,
Discovery Kids: Kitten Corner,DS,2009,Simulation,505 Games,0.42,0,0,0.03,,,,,E
Rock Band Country Track Pack,Wii,2009,Misc,MTV Games,0.41,0,0,0.03,,,,,E10+
Major League Baseball 2K6,PS2,2006,Sports,Spike,0.37,0.01,0,0.06,70,19,5.2,27,E
Hometown Story,3DS,2013,Role-Playing,Rising Star Games,0.24,0.12,0.04,0.04,47,14,6,24,E10+
Brunswick Pro Bowling,X360,2010,Sports,505 Games,0.38,0.04,0,0.03,44,4,,,E
Jampack Volume 13 (RP-M),PS2,2005,Misc,Sony Computer Entertainment,0.37,0.01,0,0.06,,,,,
World Soccer Winning Eleven 9,X,2005,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,89,19,7.9,9,E
NBA Live 2000,N64,1999,Sports,Electronic Arts,0.42,0.02,0,0,,,,,
"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005,Misc,THQ,0.37,0.01,0,0.06,,,,,
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004,Action,Konami Digital Entertainment,0.22,0.17,0,0.06,47,25,7.8,12,T
The Thing,PS2,2002,Adventure,Vivendi Games,0.22,0.17,0,0.06,78,27,7.4,41,M
Van Helsing,PS2,2004,Action,Activision,0.22,0.17,0,0.06,64,41,8.5,19,T
Virtua Tennis 4,PS3,2011,Sports,Sega,0.09,0.24,0.03,0.08,69,49,6.6,28,E
Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.21,0.02,0.07,,,7.1,116,M
X-Men Legends II: Rise of Apocalypse,X,2005,Role-Playing,Activision,0.3,0.12,0,0.02,84,50,8.7,199,T
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,74,35,7.2,48,T
Sid Meiers Civilization Revolution,DS,2008,Strategy,Take-Two Interactive,0.37,0.03,0.02,0.03,80,26,7.7,21,E10+
Worms: Open Warfare 2,PSP,2007,Strategy,THQ,0.04,0.26,0,0.14,80,26,8.1,25,E10+
Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009,Action,Activision,0.26,0.14,0,0.04,,,,,
Spawn: Armageddon,PS2,2003,Action,Electronic Arts,0.22,0.17,0,0.06,56,33,7.4,21,M
The Godfather (US sales),X,2006,Action,Electronic Arts,0.33,0.1,0,0.02,,,,,
World Stadium EX,PS,1996,Sports,Namco Bandai Games,0,0,0.41,0.03,,,,,
Tiger Woods PGA Tour 2003,X,2002,Sports,Electronic Arts,0.35,0.08,0,0.01,88,14,8.5,11,E
Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,80,42,8.5,66,T
Rayman Legends,X360,2013,Platform,Ubisoft,0.19,0.22,0,0.04,90,35,8.2,218,E10+
50 Cent: Bulletproof,X,2005,Action,Vivendi Games,0.33,0.1,0,0.02,50,14,5.9,21,M
Densetsu no Stafi 2,GBA,2003,Platform,Nintendo,0,0,0.43,0.01,,,,,
Independence Day,PS,1997,Shooter,Fox Interactive,0.25,0.17,0,0.03,,,,,
Tony Hawks Proving Ground,PS3,2007,Sports,Activision,0.36,0.04,0,0.04,73,36,6.5,18,T
Chocobo Racing,PS,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03,,,,,
LEGO Star Wars II: The Original Trilogy,X,2006,Action,LucasArts,0.33,0.1,0,0.02,85,27,8.6,15,E10+
Viking: Battle for Asgard,X360,2008,Action,Sega,0.16,0.23,0,0.05,68,67,8,88,M
Petz: Catz 2,Wii,2007,Simulation,Ubisoft,0.4,0.01,0,0.03,,,5.8,6,E
Dragon Quest Heroes: Rocket Slime,DS,2005,Action,Square Enix,0.13,0,0.31,0.01,83,41,7.7,46,E
Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005,Shooter,Namco Bandai Games,0,0,0.44,0,,,,,
Ms. Pac-Man Maze Madness,PS,2000,Puzzle,Namco Bandai Games,0.25,0.17,0,0.03,,,,,
Blood Omen: Legacy of Kain,PS,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0,0.03,,,,,
Super Bomberman 4,SNES,1996,Puzzle,Hudson Soft,0,0,0.44,0,,,,,
Family Fest Presents Circus Games,Wii,2008,Misc,Ubisoft,0.1,0.29,0,0.05,,,,,E
Disney Infinity 3.0,X360,2015,Action,Disney Interactive Studios,0.23,0.17,0,0.04,,,,,
Dance Dance Revolution: Hottest Party 3,Wii,2009,Simulation,Konami Digital Entertainment,0.26,0.14,0,0.04,66,5,8.2,5,E10+
DmC: Devil May Cry,X360,2013,Action,Capcom,0.27,0.12,0.01,0.04,86,65,5.1,1440,M
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011,Action,Activision,0.32,0.08,0,0.03,,,,,
Duke Nukem 64,N64,1997,Shooter,GT Interactive,0.35,0.08,0,0.01,,,,,
Bomberman II,NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,,,,,
The Urbz: Sims in the City (all regions sales),DS,2004,Simulation,Electronic Arts,0.4,0.01,0.02,0,,,,,
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.3,0.1,0,0.04,87,14,8.6,521,
"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005,Misc,THQ,0.34,0.09,0,0.01,,,,,
G-Force,Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0,0.05,69,6,8,6,E10+
Super Robot Taisen OG: Original Generations,PS2,2007,Strategy,Banpresto,0,0,0.44,0,,,,,
Army Men World War: Final Front,PS,2001,Action,3DO,0.24,0.17,0,0.03,,,,,
Transformers: Fall of Cybertron,X360,2012,Action,Activision,0.28,0.12,0,0.04,79,52,8.3,160,T
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010,Shooter,Sony Computer Entertainment,0.17,0.13,0.06,0.08,74,51,8,20,T
Band Hero,DS,2009,Misc,Activision,0.21,0.19,0,0.05,65,18,7,4,E10+
MX Unleashed,X,2004,Racing,THQ,0.34,0.08,0,0.02,81,18,9.3,12,E
