,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Global_Sales
1170,WWE 2K15,PS4,2014.0,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,62.0,44.0,5.1,164.0,T,1.15
1171,Bad Boys: Miami Takedown,PS2,2004.0,Shooter,Empire Interactive,0.56,0.44,0.0,0.15,43.0,5.0,3.4,13.0,M,1.15
1172,Football Manager 2013,PC,2012.0,Sports,Sega,0.0,0.95,0.0,0.21,86.0,37.0,6.8,230.0,,1.16
1173,FIFA Soccer 10,PSP,2009.0,Sports,Electronic Arts,0.16,0.67,0.01,0.31,83.0,9.0,7.9,14.0,E,1.1500000000000001
1174,Donkey Konga,GC,2003.0,Misc,Nintendo,0.5,0.16,0.46,0.03,76.0,55.0,8.1,22.0,E,1.1500000000000001
1175,Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03,92.0,40.0,8.5,2376.0,M,1.1500000000000001
1176,Tak and the Power of Juju,PS2,2003.0,Platform,THQ,0.56,0.44,0.0,0.15,68.0,28.0,9.0,28.0,E,1.15
1177,Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,Take-Two Interactive,0.45,0.45,0.06,0.18,,,7.5,18.0,M,1.14
1178,Persona 4: Golden,PSV,2012.0,Role-Playing,Atlus,0.37,0.24,0.38,0.16,93.0,61.0,9.2,1240.0,M,1.15
1179,Sunset Overdrive,XOne,2014.0,Shooter,Microsoft Game Studios,0.64,0.4,0.0,0.1,81.0,89.0,7.7,1142.0,M,1.1400000000000001
1180,Tenchu: Wrath of Heaven,PS2,2003.0,Action,Activision,0.44,0.34,0.25,0.11,79.0,33.0,8.4,38.0,M,1.1400000000000001
1181,Shadow of the Colossus,PS2,2005.0,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,91.0,77.0,9.1,948.0,T,1.1400000000000001
1182,Pokemon Rumble Blast,3DS,2011.0,Action,Nintendo,0.47,0.26,0.35,0.07,56.0,36.0,7.1,50.0,E10+,1.1500000000000001
1183,Ninja Gaiden Sigma,PS3,2007.0,Action,Eidos Interactive,0.57,0.32,0.09,0.16,88.0,46.0,7.5,156.0,M,1.14
1184,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,74.0,22.0,7.5,121.0,T,1.14
1185,007: Quantum of Solace,PS3,2008.0,Action,Activision,0.43,0.51,0.02,0.19,65.0,42.0,6.6,49.0,T,1.15
1186,Dance Dance Revolution Extreme 2,PS2,2005.0,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,76.0,27.0,9.0,21.0,E10+,1.15
1187,Dragon Ball: XenoVerse,PS4,2015.0,Fighting,Namco Bandai Games,0.32,0.53,0.13,0.16,69.0,50.0,7.7,600.0,T,1.1400000000000001
1188,The Lord of the Rings: The Return of the King,X,2003.0,Action,Electronic Arts,0.71,0.38,0.0,0.05,84.0,31.0,9.1,31.0,T,1.14
1189,EA Sports Active: More Workouts,Wii,2009.0,Sports,Electronic Arts,0.77,0.27,0.0,0.1,80.0,15.0,,,E,1.1400000000000001
1190,Hot Shots Golf: Out of Bounds,PS3,2007.0,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,81.0,66.0,8.8,32.0,E,1.1400000000000001
1191,Alien: Isolation,PS4,2014.0,Shooter,Sega,0.35,0.57,0.04,0.18,79.0,50.0,8.1,800.0,M,1.14
1192,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001.0,Simulation,Atari,0.12,0.1,0.88,0.03,73.0,15.0,8.8,32.0,T,1.1300000000000001
1193,Pikmin 3,WiiU,2013.0,Strategy,Nintendo,0.45,0.33,0.29,0.07,87.0,79.0,8.7,666.0,E10+,1.1400000000000001
1194,MechAssault,X,2002.0,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,87.0,32.0,8.0,47.0,T,1.1400000000000001
1195,LEGO City Undercover,WiiU,2013.0,Platform,Nintendo,0.49,0.44,0.13,0.08,80.0,66.0,8.2,283.0,E10+,1.1400000000000001
1196,Pokken Tournament,WiiU,2016.0,Fighting,Namco Bandai Games,0.56,0.32,0.18,0.09,76.0,74.0,8.0,276.0,E10+,1.1500000000000001
1197,Cars,GBA,2006.0,Racing,THQ,0.81,0.3,0.0,0.02,50.0,8.0,4.7,6.0,E,1.1300000000000001
1198,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,LucasArts,0.61,0.43,0.0,0.09,67.0,25.0,6.1,31.0,E10+,1.1300000000000001
1199,Project CARS,PS4,2015.0,Racing,Slightly Mad Studios,0.23,0.7,0.03,0.17,83.0,37.0,6.6,367.0,E,1.13
1200,Tom Clancys Rainbow Six 3: Black Arrow,X,2004.0,Shooter,Ubisoft,0.99,0.12,0.0,0.02,84.0,55.0,8.6,14.0,M,1.13
1201,Rocksmith,PS3,2011.0,Misc,Ubisoft,0.53,0.36,0.09,0.15,80.0,27.0,8.3,52.0,T,1.13
1202,Mirrors Edge,PS3,2008.0,Platform,Electronic Arts,0.31,0.58,0.02,0.22,79.0,66.0,7.8,366.0,T,1.13
1203,Guitar Hero 5,X360,2009.0,Misc,Activision,0.65,0.37,0.0,0.11,85.0,69.0,6.8,108.0,T,1.1300000000000001
1204,Fantasy Life,3DS,2012.0,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,73.0,51.0,8.6,210.0,E10+,1.13
1205,SingStar,PS3,2007.0,Misc,Sony Computer Entertainment,0.45,0.56,0.0,0.12,82.0,48.0,5.9,15.0,T,1.13
1206,Supercar Street Challenge,PS2,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,57.0,15.0,7.6,9.0,E,1.12
1207,Rabbids Go Home,Wii,2009.0,Platform,Ubisoft,0.25,0.74,0.0,0.14,78.0,50.0,8.3,32.0,E10+,1.13
1208,Rocksmith,X360,2011.0,Misc,Ubisoft,0.84,0.19,0.01,0.08,77.0,30.0,8.2,62.0,T,1.12
1209,ModNation Racers,PS3,2010.0,Racing,Sony Computer Entertainment,0.5,0.4,0.06,0.16,82.0,85.0,8.4,202.0,E,1.1199999999999999
1210,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,82.0,44.0,8.6,63.0,M,1.12
1211,Call Of Duty 2: Big Red One,X,2005.0,Shooter,Activision,0.66,0.4,0.0,0.05,78.0,46.0,5.1,27.0,T,1.11
1212,Guitar Hero 5,PS2,2009.0,Misc,Activision,0.28,0.3,0.0,0.54,71.0,4.0,2.6,10.0,T,1.12
1213,Worldwide Soccer Manager 2008,PC,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,86.0,15.0,8.0,19.0,E,1.12
1214,Yakuza 3,PS3,2009.0,Action,Sega,0.21,0.2,0.62,0.08,79.0,77.0,8.1,165.0,M,1.11
1215,Spider-Man 2,X,2004.0,Action,Activision,0.82,0.26,0.0,0.04,83.0,60.0,8.3,40.0,T,1.12
1216,Crackdown 2,X360,2010.0,Shooter,Microsoft Game Studios,0.63,0.36,0.02,0.1,70.0,91.0,6.0,202.0,M,1.11
1217,The Beatles: Rock Band,PS3,2009.0,Misc,MTV Games,0.67,0.29,0.0,0.15,88.0,60.0,8.7,59.0,T,1.1099999999999999
1218,Dragon Age II,X360,2011.0,Action,Electronic Arts,0.72,0.29,0.01,0.09,79.0,75.0,4.5,2382.0,M,1.11
1219,Counter-Strike,X,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,74.0,38.0,7.6,51.0,M,1.12
1220,Guitar Hero Encore: Rocks The 80s,PS2,2007.0,Misc,RedOctane,0.92,0.04,0.0,0.15,69.0,50.0,6.3,31.0,T,1.11
1221,Fight Night Champion,PS3,2011.0,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,84.0,52.0,7.3,95.0,M,1.1199999999999999
1222,Rock Band,PS2,2007.0,Misc,Electronic Arts,0.71,0.06,0.0,0.35,82.0,8.0,6.8,13.0,T,1.12
1223,Tom Clancys Splinter Cell: Chaos Theory,X,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,94.0,70.0,9.0,160.0,M,1.11
1224,WWE 2K14,X360,2013.0,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,75.0,43.0,7.7,100.0,T,1.11
1225,Dishonored 2,PS4,2016.0,Action,Bethesda Softworks,0.41,0.51,0.01,0.18,88.0,62.0,7.7,629.0,M,1.1099999999999999
1226,Castlevania: Lords of Shadow,PS3,2010.0,Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,85.0,62.0,7.9,472.0,M,1.0999999999999999
1227,Plants vs. Zombies,DS,2011.0,Strategy,Mastertronic,0.9,0.12,0.0,0.08,81.0,23.0,7.4,29.0,E10+,1.1
1228,NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,0.52,0.4,0.04,0.13,74.0,18.0,,,E,1.09
1229,SingStar Legends,PS2,2006.0,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,76.0,25.0,,,T,1.1
1230,Tales of Symphonia,GC,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,86.0,60.0,8.5,181.0,T,1.1
1231,Need for Speed: ProStreet,Wii,2007.0,Racing,Electronic Arts,0.53,0.45,0.0,0.12,61.0,16.0,6.9,14.0,E10+,1.1
1232,GRID,PS3,2008.0,Racing,Codemasters,0.31,0.56,0.03,0.2,87.0,39.0,8.1,110.0,E,1.1
1233,Medal of Honor: Airborne,X360,2007.0,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,73.0,54.0,6.7,77.0,T,1.1
1234,Petz Dogz 2,DS,2007.0,Simulation,Ubisoft,0.46,0.51,0.0,0.12,,,,,E,1.0899999999999999
1235,Sonic and the Black Knight,Wii,2009.0,Platform,Sega,0.64,0.34,0.01,0.11,54.0,51.0,6.9,199.0,E10+,1.1
1236,Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,0.52,0.48,0.0,0.09,69.0,6.0,7.3,122.0,E10+,1.09
1237,NCAA Football 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.08,77.0,18.0,5.8,74.0,E,1.09
1238,The Legend of Zelda: Twilight Princess HD,WiiU,2016.0,Action,Nintendo,0.59,0.32,0.09,0.09,86.0,74.0,8.4,340.0,T,1.0899999999999999
1239,Yakuza 2,PS2,2006.0,Adventure,Sega,0.05,0.04,0.84,0.16,77.0,34.0,8.1,52.0,M,1.0899999999999999
1240,LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,LucasArts,0.62,0.38,0.0,0.1,66.0,8.0,,,E,1.1
1241,Guitar Hero 5,PS3,2009.0,Misc,Activision,0.53,0.39,0.0,0.17,86.0,54.0,5.7,87.0,T,1.09
1242,Sonic Free Riders,X360,2010.0,Racing,Sega,0.75,0.25,0.0,0.09,47.0,52.0,2.1,98.0,E,1.09
1243,Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,75.0,21.0,8.9,39.0,E,1.09
1244,NERF N-Strike,Wii,2008.0,Shooter,Electronic Arts,0.91,0.09,0.0,0.09,66.0,13.0,4.4,7.0,E10+,1.09
1245,Untold Legends: Brotherhood of the Blade,PSP,2005.0,Role-Playing,Activision,0.54,0.33,0.01,0.22,68.0,51.0,7.6,58.0,T,1.1
1246,Madden NFL 2004,X,2003.0,Sports,Electronic Arts,1.02,0.02,0.0,0.05,92.0,27.0,8.3,48.0,E,1.09
1247,The Godfather,PS2,2006.0,Action,Electronic Arts,0.89,0.03,0.01,0.15,75.0,56.0,8.3,99.0,M,1.08
1248,Star Wars: Bounty Hunter,PS2,2002.0,Shooter,LucasArts,0.53,0.42,0.0,0.14,65.0,32.0,8.3,33.0,T,1.0899999999999999
1249,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,74.0,42.0,6.9,42.0,T,1.09
1250,NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.07,76.0,20.0,5.5,65.0,E,1.09
1251,Skate 2,X360,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,84.0,70.0,7.9,73.0,T,1.09
1252,Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.1,90.0,62.0,6.9,2989.0,T,1.08
1253,Imagine: Babysitters,DS,2008.0,Simulation,Ubisoft,0.63,0.35,0.0,0.1,,,,,E,1.08
1254,NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,88.0,15.0,8.9,77.0,E,1.08
1255,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41,0.0,0.14,,,6.6,41.0,E,1.08
1256,Namco Museum Battle Collection,PSP,2005.0,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,73.0,28.0,7.2,9.0,E10+,1.0899999999999999
1257,Fishermans Bass Clu,PS2,2002.0,Sports,Agetec,0.53,0.41,0.0,0.14,,,,,E,1.08
1258,Virtua Fighter 5,PS3,2007.0,Fighting,Sega,0.29,0.51,0.08,0.2,85.0,47.0,7.4,67.0,T,1.08
1259,Dantes Inferno,PS3,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,75.0,69.0,7.5,267.0,M,1.09
1260,Tom Clancys Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,58.0,21.0,6.0,19.0,T,1.08
1261,LEGO Marvel Super Heroes,XOne,2013.0,Action,Warner Bros. Interactive Entertainment,0.61,0.37,0.0,0.1,,,6.8,73.0,E10+,1.08
1262,Star Wars: The Force Unleashed,PSP,2008.0,Action,LucasArts,0.43,0.4,0.0,0.24,70.0,10.0,8.1,49.0,T,1.07
1263,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,40.0,23.0,6.1,22.0,T,1.08
1264,Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,67.0,59.0,8.1,106.0,T,1.08
1265,Rayman Legends,PS4,2014.0,Platform,Ubisoft,0.22,0.69,0.0,0.17,90.0,16.0,8.5,530.0,E10+,1.0799999999999998
1266,The Simpsons Game,PSP,2007.0,Action,Electronic Arts,0.24,0.54,0.0,0.3,59.0,7.0,6.7,15.0,T,1.08
1267,LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action,LucasArts,0.96,0.03,0.0,0.08,47.0,9.0,5.0,38.0,E,1.07
1268,FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,73.0,17.0,7.3,8.0,E,1.0699999999999998
1269,Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,82.0,14.0,7.4,83.0,T,1.07
1270,Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.4,0.03,0.17,85.0,59.0,7.3,246.0,T,1.07
1271,Imagine: Fashion Designer New York,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,0.1,,,,,E,1.07
1272,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.58,0.38,0.02,0.1,,,7.6,18.0,M,1.08
1273,The Biggest Loser,Wii,2009.0,Sports,THQ,0.86,0.12,0.0,0.09,74.0,5.0,8.1,32.0,E,1.07
1274,WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,THQ,0.53,0.01,0.0,0.54,,,7.7,31.0,T,1.08
1275,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,85.0,77.0,7.1,167.0,T,1.07
1276,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.42,0.01,0.11,76.0,57.0,6.6,198.0,T,1.07
1277,DJ Hero,X360,2009.0,Misc,Activision,0.57,0.39,0.0,0.11,84.0,72.0,8.0,42.0,T,1.07
1278,Pro Evolution Soccer 2008,X360,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,76.0,29.0,7.8,36.0,E,1.07
1279,Tiger Woods PGA Tour 10,Wii,2009.0,Sports,Electronic Arts,0.6,0.36,0.0,0.11,88.0,44.0,8.8,57.0,E,1.07
1280,SoulCalibur III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,86.0,57.0,8.4,96.0,T,1.07
1281,MySims Agents,DS,2009.0,Adventure,Electronic Arts,0.54,0.42,0.0,0.11,60.0,5.0,,,E,1.07
1282,Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,66.0,62.0,5.9,556.0,T,1.07
1283,World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,70.0,31.0,5.6,5.0,E,1.07
1284,Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,75.0,32.0,8.6,95.0,T,1.07
1285,Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,90.0,77.0,7.3,146.0,M,1.07
1286,Mortal Kombat: Armageddon,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,75.0,43.0,8.5,84.0,M,1.06
1287,Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,81.0,25.0,7.3,14.0,E,1.0699999999999998
1288,Spore Creatures,DS,2008.0,Simulation,Electronic Arts,0.66,0.3,0.0,0.1,65.0,20.0,6.5,21.0,E,1.06
1289,The Orange Box,PS3,2007.0,Shooter,Electronic Arts,0.28,0.58,0.0,0.21,89.0,21.0,8.4,188.0,M,1.07
1290,Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,80.0,56.0,8.3,156.0,T,1.07
1291,Skylanders Giants,PS3,2012.0,Action,Activision,0.37,0.49,0.0,0.2,77.0,21.0,6.3,18.0,E10+,1.06
1292,NBA Street V3,PS2,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,89.0,36.0,8.7,37.0,E,1.0699999999999998
1293,Hulk,PS2,2003.0,Action,Universal Interactive,0.52,0.41,0.0,0.14,71.0,28.0,8.3,22.0,T,1.0699999999999998
1294,Titanfall 2,PS4,2016.0,Shooter,Electronic Arts,0.46,0.38,0.05,0.17,89.0,61.0,8.4,769.0,M,1.06
1295,Endless Ocean,Wii,2007.0,Adventure,Nintendo,0.43,0.46,0.09,0.09,72.0,42.0,8.1,61.0,E,1.07
1296,Aliens vs Predator,X360,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,64.0,64.0,7.3,247.0,M,1.06
1297,Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,87.0,21.0,9.1,645.0,M,1.05
1298,Spider-Man 2,GBA,2004.0,Action,Activision,0.76,0.28,0.0,0.02,65.0,12.0,7.7,6.0,E,1.06
1299,Seek and Destroy,PS2,2002.0,Racing,Play It,0.52,0.4,0.0,0.14,63.0,9.0,8.8,10.0,T,1.06
1300,Darksiders,X360,2010.0,Action,THQ,0.67,0.28,0.01,0.1,83.0,81.0,7.9,293.0,M,1.06
1301,Mercenaries 2: World in Flames,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,72.0,69.0,7.2,152.0,T,1.06
1302,Warhawk,PS3,2007.0,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,84.0,50.0,8.4,184.0,T,1.05
1303,DiRT 3,PS3,2011.0,Racing,Codemasters,0.27,0.57,0.01,0.2,87.0,52.0,7.1,122.0,T,1.05
1304,LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,82.0,16.0,8.3,85.0,E10+,1.05
1305,EA Sports UFC,PS4,2014.0,Sports,Electronic Arts,0.46,0.41,0.01,0.18,70.0,57.0,6.1,280.0,T,1.06
1306,Sega Superstars Tennis,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,71.0,24.0,6.8,17.0,E10+,1.06
1307,DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.66,0.0,0.23,83.0,32.0,8.0,33.0,E,1.05
1308,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.95,0.01,0.01,0.08,75.0,22.0,6.9,36.0,T,1.05
1309,Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,Capcom,0.46,0.31,0.2,0.09,75.0,55.0,8.0,60.0,M,1.06
1310,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,81.0,31.0,9.0,36.0,T,1.05
1311,Dora the Explorer: Dora Saves the Mermaids,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.07,44.0,5.0,2.5,4.0,E,1.05
1312,NBA 2K3,PS2,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,89.0,21.0,8.0,22.0,E,1.04
1313,The Simpsons: Road Rage,X,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,61.0,17.0,8.3,6.0,T,1.05
1314,Forza Motorsport,X,2005.0,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,92.0,73.0,7.6,214.0,E,1.05
1315,Virtua Tennis 3,PS3,2007.0,Sports,Sega,0.23,0.58,0.03,0.21,80.0,35.0,7.9,32.0,E,1.05
1316,Imagine: Animal Doctor,DS,2007.0,Simulation,Ubisoft,0.45,0.48,0.0,0.11,,,7.4,5.0,E,1.04
1317,MVP Baseball 2003,PS2,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,81.0,22.0,8.9,17.0,E,1.04
1318,WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,THQ,0.56,0.37,0.01,0.1,80.0,59.0,8.4,36.0,T,1.04
1319,Sleeping Dogs,PS3,2012.0,Action,Square Enix,0.31,0.49,0.05,0.19,83.0,40.0,7.7,646.0,M,1.04
1320,Naruto: Clash of Ninja 2,GC,2003.0,Fighting,Nintendo,0.44,0.12,0.45,0.03,74.0,22.0,8.9,39.0,T,1.04
1321,Dance Dance Revolution SuperNOVA,PS2,2006.0,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,73.0,25.0,8.7,6.0,E10+,1.04
1322,Aliens vs Predator,PS3,2010.0,Shooter,Sega,0.41,0.46,0.0,0.18,65.0,57.0,7.3,169.0,M,1.05
1323,F-Zero: Maximum Velocity,GBA,2001.0,Racing,Nintendo,0.39,0.16,0.37,0.12,86.0,19.0,8.4,23.0,E,1.04
1324,Sonic the Hedgehog,X360,2006.0,Platform,Sega,0.44,0.48,0.0,0.11,46.0,38.0,4.4,458.0,E10+,1.03
1325,Need for Speed: Most Wanted,X,2005.0,Racing,Electronic Arts,0.53,0.46,0.0,0.05,83.0,32.0,8.8,29.0,T,1.04
1326,The Simpsons Game,X360,2007.0,Action,Electronic Arts,0.54,0.39,0.0,0.11,71.0,52.0,7.7,73.0,T,1.04
1327,F1 2012,PS3,2012.0,Racing,Codemasters,0.12,0.63,0.05,0.23,81.0,23.0,7.5,55.0,E,1.03
1328,Brink,X360,2011.0,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,68.0,85.0,5.8,404.0,T,1.04
1329,MX vs. ATV Unleashed,PS2,2005.0,Racing,THQ,0.86,0.03,0.0,0.14,79.0,30.0,8.4,17.0,E,1.03
1330,Sonic Generations,3DS,2011.0,Platform,Sega,0.44,0.49,0.01,0.09,66.0,29.0,6.9,110.0,E,1.03
1331,WipEout Pure,PSP,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.23,88.0,56.0,7.9,102.0,E,1.04
1332,UFC Undisputed 3,PS3,2012.0,Action,THQ,0.55,0.32,0.03,0.13,86.0,30.0,7.4,92.0,T,1.0300000000000002
1333,LEGO Pirates of the Caribbean: The Video Game,X360,2011.0,Action,Disney Interactive Studios,0.54,0.39,0.0,0.09,73.0,54.0,7.0,31.0,E10+,1.02
1334,Tom Clancys Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,Ubisoft,0.34,0.48,0.02,0.19,84.0,29.0,8.1,41.0,T,1.03
1335,Super Princess Peach,DS,2005.0,Platform,Nintendo,0.7,0.05,0.21,0.07,75.0,48.0,7.6,33.0,E,1.03
1336,FIFA Soccer 08,Wii,2007.0,Sports,Electronic Arts,0.32,0.59,0.01,0.12,65.0,13.0,6.1,26.0,E,1.04
1337,Guinness World Records: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,67.0,12.0,7.0,8.0,E10+,1.04
1338,MySims Agents,Wii,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,78.0,28.0,8.6,28.0,E,1.04
1339,NCAA March Madness 2004,PS2,2003.0,Sports,Electronic Arts,0.5,0.39,0.0,0.13,82.0,16.0,8.8,12.0,E,1.02
1340,LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,Activision,0.44,0.42,0.0,0.17,77.0,36.0,7.7,30.0,E10+,1.03
1341,ZhuZhu Pets,DS,2010.0,Simulation,Activision,0.67,0.27,0.0,0.09,,,,,E,1.03
1342,Kirby: Planet Robobot,3DS,2016.0,Action,Nintendo,0.3,0.18,0.5,0.05,81.0,71.0,8.7,92.0,E,1.03
1343,Junior Brain Trainer,DS,2008.0,Misc,GSP,0.23,0.71,0.0,0.09,,,,,E,1.03
1344,MotorStorm: Arctic Edge,PSP,2009.0,Racing,Sony Computer Entertainment,0.16,0.57,0.0,0.29,79.0,58.0,8.8,39.0,T,1.02
1345,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.65,0.28,0.0,0.1,61.0,11.0,6.0,5.0,E10+,1.03
1346,Dance on Broadway,Wii,2010.0,Misc,Ubisoft,0.26,0.65,0.0,0.12,48.0,6.0,3.3,4.0,E10+,1.03
1347,Tiger Woods PGA Tour 08,Wii,2007.0,Sports,Electronic Arts,0.93,0.01,0.0,0.08,72.0,24.0,7.0,22.0,E,1.02
1348,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007.0,Fighting,Atari,0.32,0.36,0.26,0.09,72.0,27.0,8.4,61.0,T,1.03
1349,Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.44,0.42,0.0,0.17,83.0,31.0,5.3,33.0,E10+,1.03
1350,Shrek 2,GC,2004.0,Platform,Activision,0.73,0.26,0.01,0.03,70.0,25.0,6.7,15.0,E,1.03
1351,Tom Clancys Ghost Recon Advanced Warfighter 2,X360,2007.0,Shooter,Ubisoft,0.87,0.05,0.02,0.08,86.0,58.0,8.1,89.0,T,1.02
1352,Sonic Unleashed,PS3,2008.0,Platform,Sega,0.56,0.32,0.01,0.14,54.0,24.0,7.8,132.0,E10+,1.0300000000000002
1353,Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009.0,Adventure,Disney Interactive Studios,0.56,0.34,0.02,0.09,,,,,E,1.0100000000000002
1354,Petz: Catz 2,DS,2007.0,Simulation,Ubisoft,0.51,0.4,0.0,0.11,,,9.0,4.0,E,1.02
1355,LEGO Indiana Jones 2: The Adventure Continues,X360,2009.0,Action,Activision,0.62,0.31,0.0,0.09,71.0,41.0,7.4,25.0,E10+,1.02
1356,Bulletstorm,X360,2011.0,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,84.0,83.0,7.6,440.0,M,1.02
1357,Madden NFL 07,X,2006.0,Sports,Electronic Arts,0.97,0.03,0.0,0.03,83.0,27.0,8.7,6.0,E,1.03
